prim_path,prim_type_name,has_authored_references,has_authored_payloads,path_encoding
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0036/N0001,Mesh,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0037,Xform,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0037/N0001,Mesh,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0038,Xform,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0038/N0001,Mesh,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0039,Xform,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0039/N0001,Mesh,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0040,Xform,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0040/N0001,Mesh,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0041,Xform,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0041/N0001,Mesh,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0042,Xform,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0042/N0001,Mesh,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0043,Xform,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0043/N0001,Mesh,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0044,Xform,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0044/N0001,Mesh,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0045,Xform,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0045/N0001,Mesh,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0046,Xform,false,false,PAIR_HIERARCHY_TOKEN_V1
/SCALEX_POD/N0002/N0001/N0002/N0002/N0001/N0046/N0001,Mesh,false,false,PAIR_HIERARCHY_TOKEN_V1
